zip,bfs_number,name,lat,lng,zone_category
1000,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1003,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1004,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1005,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1006,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1007,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1008,5589,Prilly,47.40831106746275,8.331936751736569,good_potential
1009,5590,Pully,47.51400061927024,9.267754321101986,moderate_potential
1010,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1011,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1012,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1015,5635,Ecublens (VD),46.963289150951255,7.181038676328656,moderate_potential
1018,5586,Lausanne,47.46757290777579,9.42616102966733,high_potential
1020,5591,Renens (VD),46.68504363539742,6.484606424865128,moderate_potential
1022,5627,Chavannes-près-Renens,47.35421043414456,8.041267701453188,moderate_potential
1023,5583,Crissier,47.39569141733155,7.690073155495465,high_potential
1024,5635,Ecublens (VD),46.963289150951255,7.181038676328656,moderate_potential
1025,5648,Saint-Sulpice (VD),47.12587645096235,9.326519146931632,moderate_potential
1026,5632,Denges,47.48285048464128,9.4539554617319,good_potential
1027,5638,Lonay,47.00174353672879,8.595892186355286,high_potential
1028,5643,Préverenges,47.03265142730093,7.119272668345819,moderate_potential
1029,5651,Villars-Sainte-Croix,47.353174037122365,8.721588135535058,good_potential
1030,5624,Bussigny,46.44436717526874,7.138020921597691,high_potential
1031,5489,Mex (VD),47.17585957859457,7.900035777052092,good_potential
1032,5592,Romanel-sur-Lausanne,47.35009349845739,9.009027528033704,good_potential
1033,5582,Cheseaux-sur-Lausanne,47.52485122337427,7.649041031984169,high_potential
1034,5473,Boussens,47.05368043091176,7.619109846141243,good_potential
1035,5472,Bournens,47.46418216176031,9.303029347844502,high_potential
1036,5501,Sullens,46.58032275188212,8.47012924776839,high_potential
1037,5521,Etagnières,47.31013894080861,7.0405403148442645,high_potential
1038,5512,Bercher,47.75859692004814,8.690552114301779,high_potential
1040,5518,Echallens,47.348797873442194,7.452157702609127,high_potential
1041,5540,Montilliez,47.351609312982035,9.53539806841056,high_potential
1042,5511,Assens,47.1574920140679,9.164982476023901,high_potential
1043,5540,Montilliez,47.351609312982035,9.53539806841056,high_potential
1044,5522,Fey,46.54598723595494,9.965936682778006,high_potential
1045,5680,Ogens,47.26297079945448,7.574319620692917,moderate_potential
1046,5534,Rueyres,46.77642634428923,7.683251508807946,high_potential
1047,5923,Oppens,47.10600562068583,7.337933469655983,good_potential
1052,5587,Le Mont-sur-Lausanne,47.36161730481504,8.221834921136212,good_potential
1053,5515,Bretigny-sur-Morrens,46.28006437177216,6.9109896840993725,high_potential
1054,5527,Morrens (VD),47.05974606662575,9.297033244572399,good_potential
1055,5523,Froideville,46.958835203098644,8.363355552138051,high_potential
1058,5804,Jorat-Menthue,47.26293428287741,7.033430407611965,high_potential
1059,5804,Jorat-Menthue,47.26293428287741,7.033430407611965,high_potential
1061,5804,Jorat-Menthue,47.26293428287741,7.033430407611965,high_potential
1062,5804,Jorat-Menthue,47.26293428287741,7.033430407611965,high_potential
1063,5693,Montanaire,47.00074636155037,9.337455622700967,high_potential
1066,5584,Epalinges,46.547800186960764,6.3176216246688925,good_potential
1068,5590,Pully,47.51400061927024,9.267754321101986,moderate_potential
1070,5607,Puidoux,46.54297975700219,9.800462298782902,high_potential
1071,5610,Saint-Saphorin (Lavaux),46.21406668871294,6.036794801166913,good_potential
1072,5604,Forel (Lavaux),46.9807358547773,9.658059835781515,high_potential
1073,5611,Savigny,47.48051775442814,8.247595207959126,high_potential
1076,5806,Jorat-Mézières,47.15485072833666,8.9333145800036,good_potential
1077,5799,Servion,47.42110468544016,8.274175284920457,good_potential
1078,5805,Oron,46.641958055401545,7.779549799366336,high_potential
1080,5799,Servion,47.42110468544016,8.274175284920457,good_potential
1081,5792,Montpreveyres,47.29017287231593,9.419127714347367,high_potential
1082,5785,Corcelles-le-Jorat,47.15797186000356,7.572956955246942,high_potential
1083,5806,Jorat-Mézières,47.15485072833666,8.9333145800036,good_potential
1084,5806,Jorat-Mézières,47.15485072833666,8.9333145800036,good_potential
1085,5803,Vulliens,47.41319492890911,7.870348964388928,high_potential
1088,5798,Ropraz,46.14761470671116,5.9789002260008,high_potential
1090,5606,Lutry,46.68613441671317,6.384164896515184,good_potential
1091,5613,Bourg-en-Lavaux,47.049804087624835,7.467302928105375,high_potential
1092,5581,Belmont-sur-Lausanne,47.238138510699414,9.550925776853644,good_potential
1093,5606,Lutry,46.68613441671317,6.384164896515184,good_potential
1094,5588,Paudex,46.95041697195255,8.076343679185044,good_potential
1095,5606,Lutry,46.68613441671317,6.384164896515184,good_potential
1096,5613,Bourg-en-Lavaux,47.049804087624835,7.467302928105375,high_potential
1097,5613,Bourg-en-Lavaux,47.049804087624835,7.467302928105375,high_potential
1098,5613,Bourg-en-Lavaux,47.049804087624835,7.467302928105375,high_potential
1110,5642,Morges,47.47395064243992,7.5853735593055465,good_potential
