municipality,bfs_number,dist_to_zone_m,in_zone,near_3km,zone_category,lon,lat
La Brillaz,2234,3536,FALSE,FALSE,moderate_potential,7.854039808710591,47.563317697645545
La Brévine,6432,0,TRUE,TRUE,high_potential,6.857451570135268,46.512015459691824
La Chaux (Cossonay),5474,0,TRUE,TRUE,high_potential,8.192246238163225,47.31169170855997
La Chaux-de-Fonds,6421,0,TRUE,TRUE,high_potential,7.938979345363536,47.313380384691065
La Chaux-du-Milieu,6435,0,TRUE,TRUE,high_potential,9.39222639571238,46.786178615140145
La Côte-aux-Fées,6504,0,TRUE,TRUE,high_potential,7.1807013411497875,46.78116006767267
La Ferrière,435,0,TRUE,TRUE,high_potential,8.933884467484145,46.03414824016311
La Grande Béroche,6417,0,TRUE,TRUE,high_potential,7.473630710910857,47.1368746216539
La Neuveville,723,0,TRUE,TRUE,high_potential,7.678095498694302,46.91839344463618
La Praz,5758,2500,FALSE,TRUE,good_potential,8.131691718732862,47.403829051141464
La Punt Chamues-ch,3785,22500,FALSE,FALSE,moderate_potential,7.072579994960023,46.90675665831652
La Rippe,5726,12500,FALSE,FALSE,moderate_potential,6.473757128414995,46.75803916420853
La Roche,2149,0,TRUE,TRUE,high_potential,7.799638779837438,47.1574959657076
La Sagne,6423,0,TRUE,TRUE,high_potential,7.056113277385479,46.825414631571704
La Sarraz,5498,0,TRUE,TRUE,high_potential,7.980136390353488,47.19144786185319
La Sonnaz,2235,9014,FALSE,FALSE,moderate_potential,7.569743521285616,47.23671239374999
La Tour-de-Peilz,5889,5590,FALSE,FALSE,moderate_potential,6.204126287577984,46.39263595501387
La Verrerie,2338,0,TRUE,TRUE,high_potential,8.498783006856172,47.49310246454757
Laax,3575,0,TRUE,TRUE,high_potential,8.111687301924638,47.263144590494726
Lac de Neuchâtel (BE),9152,3536,FALSE,FALSE,moderate_potential,6.754544760231833,46.63750225343161
Lac de Neuchâtel (NE),9155,2500,FALSE,TRUE,good_potential,9.10863544040695,46.66163772663575
Lachen,1344,5000,FALSE,FALSE,moderate_potential,8.766944449256084,46.14772320339751
Laconnex,6627,0,TRUE,TRUE,high_potential,7.043687134107784,46.67134721126133
Lajoux (JU),6750,2500,FALSE,TRUE,good_potential,6.766684979323486,46.78886281472664
Lalden,6286,0,TRUE,TRUE,high_potential,7.854279643549952,47.303495209216294
Lamone,5189,7071,FALSE,FALSE,moderate_potential,7.781385739727726,47.00944233965623
Lampenberg,2887,0,TRUE,TRUE,high_potential,6.996939146526328,47.438381529406456
Lancy,6628,5000,FALSE,FALSE,moderate_potential,7.450385407685474,47.0961383018784
Landiswil,613,0,TRUE,TRUE,high_potential,7.072655590228796,47.17643964152058
Landquart,3955,0,TRUE,TRUE,high_potential,8.571933741975572,47.430164457228955
Langenbruck,2888,2500,FALSE,TRUE,good_potential,6.298252146488506,46.49492391915455
Langendorf,2550,5590,FALSE,FALSE,moderate_potential,7.079797309922386,46.6879256674189
Langenthal,329,2500,FALSE,TRUE,good_potential,7.379838761037158,46.54929063862516
Langnau am Albis,136,10000,FALSE,FALSE,moderate_potential,7.972826188211481,46.135362181240886
Langnau im Emmental,902,0,TRUE,TRUE,high_potential,7.224143435851359,46.754993215355064
Langrickenbach,4681,0,TRUE,TRUE,high_potential,6.989444609823525,47.15167024892024
